"id","name","src_lang","tgt_lang","src_code","tgt_code"
"13953","ABC problem","C#","Java","using System;
using System.IO;

using System.Text.RegularExpressions;
using System.Collections.Generic;

void Main()
{
   string blocks = ""BO XK DQ CP NA GT RE TG QD FS JW HU VI AN OB ER FS LY PC ZM"";
   List<string> words = new List<string>() {
      ""A"", ""BARK"", ""BOOK"", ""TREAT"", ""COMMON"", ""SQUAD"", ""CONFUSE""
   };

   foreach(var word in words)
   {
      Console.WriteLine(""{0}: {1}"", word, CheckWord(blocks, word));
   }
}

bool CheckWord(string blocks, string word)
{
   for(int i = 0; i < word.Length; ++i)
   {
      int length = blocks.Length;
      Regex rgx = new Regex(""([a-z]""+word[i]+""|""+word[i]+""[a-z])"", RegexOptions.IgnoreCase);
      blocks = rgx.Replace(blocks, """", 1);
      if(blocks.Length == length) return false;
   }
   return true;
}
","static Boolean canMakeWord(List<String> src_blocks, String word) {
    if (String.isEmpty(word)) {
        return true;
    }

    List<String> blocks = new List<String>();
    for (String block : src_blocks) {
        blocks.add(block.toUpperCase());
    }
    
    for (Integer i = 0; i < word.length(); i++) {
        Integer blockIndex = -1;
        String c = word.mid(i, 1).toUpperCase();
        
        for (Integer j = 0; j < blocks.size(); j++) {
            if (blocks.get(j).contains(c)) {
                blockIndex = j;
                break;
            }
        }
        
        if (blockIndex == -1) {
            return false;
        } else {
            blocks.remove(blockIndex);
        }
    }
        
    return true;
}

List<String> blocks = new List<String>{
    'BO', 'XK', 'DQ', 'CP', 'NA',
    'GT', 'RE', 'TG', 'QD', 'FS', 
    'JW', 'HU', 'VI', 'AN', 'OB', 
    'ER', 'FS', 'LY', 'PC', 'ZM'
};
System.debug('"""": ' + canMakeWord(blocks, ''));
System.debug('""A"": ' + canMakeWord(blocks, 'A'));
System.debug('""BARK"": ' + canMakeWord(blocks, 'BARK'));
System.debug('""book"": ' + canMakeWord(blocks, 'book'));
System.debug('""treat"": ' + canMakeWord(blocks, 'treat'));
System.debug('""COMMON"": ' + canMakeWord(blocks, 'COMMON'));
System.debug('""SQuAd"": ' + canMakeWord(blocks, 'SQuAd'));
System.debug('""CONFUSE"": ' + canMakeWord(blocks, 'CONFUSE'));
"
"8075","RPG attributes generator","C#","Java","using System;
using System.Collections.Generic;
using System.Linq;

static class Module1
{
    static Random r = new Random();

    static List<int> getThree(int n)
    {
        List<int> g3 = new List<int>();
        for (int i = 0; i < 4; i++) g3.Add(r.Next(n) + 1);
        g3.Sort(); g3.RemoveAt(0); return g3;
    }

    static List<int> getSix()
    {
        List<int> g6 = new List<int>();
        for (int i = 0; i < 6; i++) g6.Add(getThree(6).Sum());
        return g6;
    }

    static void Main(string[] args)
    {
        bool good = false; do {
            List<int> gs = getSix(); int gss = gs.Sum(); int hvc = gs.FindAll(x => x > 14).Count;
            Console.Write(""attribs: {0}, sum={1}, ({2} sum, high vals={3})"",
                          string.Join("", "", gs), gss, gss >= 75 ? ""good"" : ""low"", hvc);
            Console.WriteLine("" - {0}"", (good = gs.Sum() >= 75 && hvc > 1) ? ""success"" : ""failure"");
        } while (!good);
    }
}
","import java.util.List;
import java.util.Random;
import java.util.stream.Stream;

import static java.util.stream.Collectors.toList;

public class Rpg {

    private static final Random random = new Random();
 
    public static int genAttribute() {
        return random.ints(1, 6 + 1) 
            .limit(4) 
            .sorted() 
            .limit(3) 
            .sum();   
    }
 
    public static void main(String[] args) {
        while (true) {
            List<Integer> stats =
                Stream.generate(Rpg::genAttribute) 
                    .limit(6) 
                    .collect(toList()); 
            int sum = stats.stream().mapToInt(Integer::intValue).sum();
            long count = stats.stream().filter(v -> v >= 15).count();
            if (count >= 2 && sum >= 75) {
                System.out.printf(""The 6 random numbers generated are: %s\n"", stats);
                System.out.printf(""Their sum is %s and %s of them are >= 15\n"", sum, count);
                return;
            }      
        }
    }
}
"
"12659","Currency","C#","Java","using System;
using System.Collections.Generic;

namespace Currency
{
    class Program
    {
        static void Main(string[] args)
        {
            MenuItem hamburger = new MenuItem() { Name = ""Hamburger"", Price = 5.5M };
            MenuItem milkshake = new MenuItem() { Name = ""Milkshake"", Price = 2.86M };

            IList<CartItem> cart = new List<CartItem>();
            cart.Add(new CartItem() { item = hamburger, quantity = 4000000000000000 });
            cart.Add(new CartItem() { item = milkshake, quantity = 2 });

            decimal total = CalculateTotal(cart);

            Console.WriteLine(string.Format(""Total before tax: {0:C}"", total));

            
            decimal tax = total * 0.0765M;

            Console.WriteLine(string.Format(""Tax: {0:C}"", tax));

            total += tax;

            Console.WriteLine(string.Format(""Total with tax: {0:C}"", total));
        }

        private static decimal CalculateTotal(IList<CartItem> cart)
        {
            decimal total = 0M;

            foreach (CartItem item in cart)
            {
                total += item.quantity * item.item.Price;
            }

            return total;
        }

        private struct MenuItem
        {
            public string Name { get; set; }
            public decimal Price { get; set; }
        }

        private struct CartItem
        {
            public MenuItem item { get; set; }
            public decimal quantity { get; set; }
        }
    }
}
","import java.math.*;
import java.util.*;

public class Currency {
    final static String taxrate = ""7.65"";

    enum MenuItem {

        Hamburger(""5.50""), Milkshake(""2.86"");

        private MenuItem(String p) {
            price = new BigDecimal(p);
        }

        public final BigDecimal price;
    }

    public static void main(String[] args) {
        Locale.setDefault(Locale.ENGLISH);

        MathContext mc = MathContext.DECIMAL128;

        Map<MenuItem, BigDecimal> order = new HashMap<>();
        order.put(MenuItem.Hamburger, new BigDecimal(""4000000000000000""));
        order.put(MenuItem.Milkshake, new BigDecimal(""2""));

        BigDecimal subtotal = BigDecimal.ZERO;
        for (MenuItem it : order.keySet())
            subtotal = subtotal.add(it.price.multiply(order.get(it), mc));

        BigDecimal tax = new BigDecimal(taxrate, mc);
        tax = tax.divide(new BigDecimal(""100""), mc);
        tax = subtotal.multiply(tax, mc);

        System.out.printf(""Subtotal: %20.2f%n"", subtotal);
        System.out.printf(""     Tax: %20.2f%n"", tax);
        System.out.printf(""   Total: %20.2f%n"", subtotal.add(tax));
    }
}
"
"4812","String prepend","C#","Java","using System;

namespace PrependString
{
    class Program
    {
        static void Main(string[] args)
        {
            string str = ""World"";
            str = ""Hello "" + str;
            Console.WriteLine(str);
            Console.ReadKey();
        }
    }
}
","
public class Prepend {
    public static void main(String[] args) {
        StringBuilder sb = new StringBuilder(""world"");
        sb.insert(0, ""Hello, "");
        System.out.println(sb);
    }
}
"
"11745","Trigonometric functions","C#","Java","using System;

namespace RosettaCode {
    class Program {
        static void Main(string[] args) {
            Console.WriteLine(""=== radians ==="");
            Console.WriteLine(""sin (pi/3) = {0}"", Math.Sin(Math.PI / 3));
            Console.WriteLine(""cos (pi/3) = {0}"", Math.Cos(Math.PI / 3));
            Console.WriteLine(""tan (pi/3) = {0}"", Math.Tan(Math.PI / 3));
            Console.WriteLine(""arcsin (1/2) = {0}"", Math.Asin(0.5));
            Console.WriteLine(""arccos (1/2) = {0}"", Math.Acos(0.5));
            Console.WriteLine(""arctan (1/2) = {0}"", Math.Atan(0.5));
            Console.WriteLine("""");
            Console.WriteLine(""=== degrees ==="");
            Console.WriteLine(""sin (60) = {0}"", Math.Sin(60 * Math.PI / 180));
            Console.WriteLine(""cos (60) = {0}"", Math.Cos(60 * Math.PI / 180));
            Console.WriteLine(""tan (60) = {0}"", Math.Tan(60 * Math.PI / 180));
            Console.WriteLine(""arcsin (1/2) = {0}"", Math.Asin(0.5) * 180/ Math.PI);
            Console.WriteLine(""arccos (1/2) = {0}"", Math.Acos(0.5) * 180 / Math.PI);
            Console.WriteLine(""arctan (1/2) = {0}"", Math.Atan(0.5) * 180 / Math.PI);

            Console.ReadLine();
        }
    }
}
","public class Trig {
        public static void main(String[] args) {
                
                double radians = Math.PI / 4;
                double degrees = 45.0;
                
                System.out.println(Math.sin(radians) + "" "" + Math.sin(Math.toRadians(degrees)));
                
                System.out.println(Math.cos(radians) + "" "" + Math.cos(Math.toRadians(degrees)));
                
                System.out.println(Math.tan(radians) + "" "" + Math.tan(Math.toRadians(degrees)));
                
                double arcsin = Math.asin(Math.sin(radians));
                System.out.println(arcsin + "" "" + Math.toDegrees(arcsin));
                
                double arccos = Math.acos(Math.cos(radians));
                System.out.println(arccos + "" "" + Math.toDegrees(arccos));
                
                double arctan = Math.atan(Math.tan(radians));
                System.out.println(arctan + "" "" + Math.toDegrees(arctan));
        }
}
"
"3466","N-smooth numbers","C#","Java","using System;
using System.Collections.Generic;
using System.Linq;
using System.Numerics;

namespace NSmooth {
    class Program {
        static readonly List<BigInteger> primes = new List<BigInteger>();
        static readonly List<int> smallPrimes = new List<int>();

        static Program() {
            primes.Add(2);
            smallPrimes.Add(2);

            BigInteger i = 3;
            while (i <= 521) {
                if (IsPrime(i)) {
                    primes.Add(i);
                    if (i <= 29) {
                        smallPrimes.Add((int)i);
                    }
                }
                i += 2;
            }
        }

        static bool IsPrime(BigInteger value) {
            if (value < 2) return false;

            if (value % 2 == 0) return value == 2;
            if (value % 3 == 0) return value == 3;

            if (value % 5 == 0) return value == 5;
            if (value % 7 == 0) return value == 7;

            if (value % 11 == 0) return value == 11;
            if (value % 13 == 0) return value == 13;

            if (value % 17 == 0) return value == 17;
            if (value % 19 == 0) return value == 19;

            if (value % 23 == 0) return value == 23;

            BigInteger t = 29;
            while (t * t < value) {
                if (value % t == 0) return false;
                value += 2;

                if (value % t == 0) return false;
                value += 4;
            }

            return true;
        }

        static List<BigInteger> NSmooth(int n, int size) {
            if (n < 2 || n > 521) {
                throw new ArgumentOutOfRangeException(""n"");
            }
            if (size < 1) {
                throw new ArgumentOutOfRangeException(""size"");
            }

            BigInteger bn = n;
            bool ok = false;
            foreach (var prime in primes) {
                if (bn == prime) {
                    ok = true;
                    break;
                }
            }
            if (!ok) {
                throw new ArgumentException(""must be a prime number"", ""n"");
            }

            BigInteger[] ns = new BigInteger[size];
            ns[0] = 1;
            for (int i = 1; i < size; i++) {
                ns[i] = 0;
            }

            List<BigInteger> next = new List<BigInteger>();
            foreach (var prime in primes) {
                if (prime > bn) {
                    break;
                }
                next.Add(prime);
            }

            int[] indices = new int[next.Count];
            for (int i = 0; i < indices.Length; i++) {
                indices[i] = 0;
            }
            for (int m = 1; m < size; m++) {
                ns[m] = next.Min();
                for (int i = 0; i < indices.Length; i++) {
                    if (ns[m] == next[i]) {
                        indices[i]++;
                        next[i] = primes[i] * ns[indices[i]];
                    }
                }
            }

            return ns.ToList();
        }

        static void Println<T>(IEnumerable<T> nums) {
            Console.Write('[');

            var it = nums.GetEnumerator();
            if (it.MoveNext()) {
                Console.Write(it.Current);
            }
            while (it.MoveNext()) {
                Console.Write("", "");
                Console.Write(it.Current);
            }

            Console.WriteLine(']');
        }

        static void Main() {
            foreach (var i in smallPrimes) {
                Console.WriteLine(""The first {0}-smooth numbers are:"", i);
                Println(NSmooth(i, 25));
                Console.WriteLine();
            }
            foreach (var i in smallPrimes.Skip(1)) {
                Console.WriteLine(""The 3,000 to 3,202 {0}-smooth numbers are:"", i);
                Println(NSmooth(i, 3_002).Skip(2_999));
                Console.WriteLine();
            }
            foreach (var i in new int[] { 503, 509, 521 }) {
                Console.WriteLine(""The 30,000 to 3,019 {0}-smooth numbers are:"", i);
                Println(NSmooth(i, 30_019).Skip(29_999));
                Console.WriteLine();
            }
        }
    }
}
","import java.math.BigInteger;
import java.util.ArrayList;
import java.util.List;

public class NSmoothNumbers {

    public static void main(String[] args) {
        System.out.printf(""show the first 25 n-smooth numbers for n = 2 through n = 29%n"");
        int max = 25;
        List<BigInteger> primes = new ArrayList<>();
        for ( int n = 2 ; n <= 29 ; n++ ) {
            if ( isPrime(n) ) {
                primes.add(BigInteger.valueOf(n));
                System.out.printf(""The first %d %d-smooth numbers:%n"", max, n);
                BigInteger[] humble = nSmooth(max, primes.toArray(new BigInteger[0]));
                for ( int i = 0 ; i < max ; i++ ) {
                    System.out.printf(""%s "", humble[i]);
                }
                System.out.printf(""%n%n"");
            }
        }
        
        System.out.printf(""show three numbers starting with 3,000 for n-smooth numbers for n = 3 through n = 29%n"");
        int count = 3;
        max = 3000 + count - 1;
        primes = new ArrayList<>();
        primes.add(BigInteger.valueOf(2));
        for ( int n = 3 ; n <= 29 ; n++ ) {
            if ( isPrime(n) ) {
                primes.add(BigInteger.valueOf(n));
                System.out.printf(""The %d through %d %d-smooth numbers:%n"", max-count+1, max, n);
                BigInteger[] nSmooth = nSmooth(max, primes.toArray(new BigInteger[0]));
                for ( int i = max-count ; i < max ; i++ ) {
                    System.out.printf(""%s "", nSmooth[i]);
                }
                System.out.printf(""%n%n"");
            }
        }
        
        System.out.printf(""Show twenty numbers starting with 30,000 n-smooth numbers for n=503 through n=521%n"");
        count = 20;
        max = 30000 + count - 1;
        primes = new ArrayList<>();
        for ( int n = 2 ; n <= 521 ; n++ ) {
            if ( isPrime(n) ) {
                primes.add(BigInteger.valueOf(n));
                if ( n >= 503 && n <= 521 ) {
                    System.out.printf(""The %d through %d %d-smooth numbers:%n"", max-count+1, max, n);
                    BigInteger[] nSmooth = nSmooth(max, primes.toArray(new BigInteger[0]));
                    for ( int i = max-count ; i < max ; i++ ) {
                        System.out.printf(""%s "", nSmooth[i]);
                    }
                    System.out.printf(""%n%n"");
                }
            }
        }

    }

    private static final boolean isPrime(long test) {
        if ( test == 2 ) {
            return true;
        }
        if ( test % 2 == 0 ) return false;
        for ( long i = 3 ; i <= Math.sqrt(test) ; i += 2 ) {
            if ( test % i == 0 ) {
                return false;
            }
        }
        return true;
    }

    private static BigInteger[] nSmooth(int n, BigInteger[] primes) {
        int size = primes.length;
        BigInteger[] test = new BigInteger[size];
        for ( int i = 0 ; i < size ; i++ ) {
            test[i] = primes[i];
        }
        BigInteger[] results = new BigInteger[n];
        results[0] = BigInteger.ONE;
        
        int[] indexes = new int[size];
        for ( int i = 0 ; i < size ; i++ ) {
            indexes[i] = 0;
        }
        
        for ( int index = 1 ; index < n ; index++ ) {
            BigInteger min = test[0];
            for ( int i = 1 ; i < size ; i++ ) {
                min = min.min(test[i]);
            }
            results[index] = min;
            
            for ( int i = 0 ; i < size ; i++ ) {
                if ( results[index].compareTo(test[i]) == 0 ) {
                    indexes[i] = indexes[i] + 1;
                    test[i] = primes[i].multiply(results[indexes[i]]);
                }
            }
        }
        return results;
    }

}
"
"17322","Set consolidation","C#","Java","using System;
using System.Linq;
using System.Collections.Generic;

public class SetConsolidation
{
    public static void Main()
    {
        var setCollection1 = new[] {new[] {""A"", ""B""}, new[] {""C"", ""D""}};
        var setCollection2 = new[] {new[] {""A"", ""B""}, new[] {""B"", ""D""}};
        var setCollection3 = new[] {new[] {""A"", ""B""}, new[] {""C"", ""D""}, new[] {""B"", ""D""}};
        var setCollection4 = new[] {new[] {""H"", ""I"", ""K""}, new[] {""A"", ""B""}, new[] {""C"", ""D""},
            new[] {""D"", ""B""}, new[] {""F"", ""G"", ""H""}};
        var input = new[] {setCollection1, setCollection2, setCollection3, setCollection4};
        
        foreach (var sets in input) {
            Console.WriteLine(""Start sets:"");
            Console.WriteLine(string.Join("", "", sets.Select(s => ""{"" + string.Join("", "", s) + ""}"")));
            Console.WriteLine(""Sets consolidated using Nodes:"");
            Console.WriteLine(string.Join("", "", ConsolidateSets1(sets).Select(s => ""{"" + string.Join("", "", s) + ""}"")));
            Console.WriteLine(""Sets consolidated using Set operations:"");
            Console.WriteLine(string.Join("", "", ConsolidateSets2(sets).Select(s => ""{"" + string.Join("", "", s) + ""}"")));
            Console.WriteLine();
        }
    }
    
    
    
    
    
    private static IEnumerable<IEnumerable<T>> ConsolidateSets1<T>(IEnumerable<IEnumerable<T>> sets,
        IEqualityComparer<T> comparer = null)
    {
        if (comparer == null) comparer = EqualityComparer<T>.Default;
        var elements = new Dictionary<T, Node<T>>();
        foreach (var set in sets) {
            Node<T> top = null;
            foreach (T value in set) {
                Node<T> element;
                if (elements.TryGetValue(value, out element)) {
                    if (top != null) {
                        var newTop = element.FindTop();
                        top.Parent = newTop;
                        element.Parent = newTop;
                        top = newTop;
                    } else {
                        top = element.FindTop();
                    }
                } else {
                    elements.Add(value, element = new Node<T>(value));
                    if (top == null) top = element;
                    else element.Parent = top;
                }
            }
        }
        foreach (var g in elements.Values.GroupBy(element => element.FindTop().Value))
            yield return g.Select(e => e.Value);
    }
    
    private class Node<T>
    {
        public Node(T value, Node<T> parent = null) {
            Value = value;
            Parent = parent ?? this;
        }
        
        public T Value { get; }
        public Node<T> Parent { get; set; }
        
        public Node<T> FindTop() {
            var top = this;
            while (top != top.Parent) top = top.Parent;
            
            var element = this;
            while (element.Parent != top) {
                var parent = element.Parent;
                element.Parent = top;
                element = parent;
            }
            return top;
        }
    }
    
    
    
    
    
    private static IEnumerable<IEnumerable<T>> ConsolidateSets2<T>(IEnumerable<IEnumerable<T>> sets,
        IEqualityComparer<T> comparer = null)
    {
        if (comparer == null) comparer = EqualityComparer<T>.Default;
        var currentSets = sets.Select(s => new HashSet<T>(s)).ToList();
        int previousSize;
        do {
            previousSize = currentSets.Count;
            for (int i = 0; i < currentSets.Count - 1; i++) {
                for (int j = currentSets.Count - 1; j > i; j--) {
                    if (currentSets[i].Overlaps(currentSets[j])) {
                        currentSets[i].UnionWith(currentSets[j]);
                        currentSets.RemoveAt(j);
                    }
                }
            }
        } while (previousSize > currentSets.Count);
        foreach (var set in currentSets) yield return set.Select(value => value);
    }
}
","import java.util.*;

public class SetConsolidation {

    public static void main(String[] args) {
        List<Set<Character>> h1 = hashSetList(""AB"", ""CD"");
        System.out.println(consolidate(h1));

        List<Set<Character>> h2 = hashSetList(""AB"", ""BD"");
        System.out.println(consolidateR(h2));

        List<Set<Character>> h3 = hashSetList(""AB"", ""CD"", ""DB"");
        System.out.println(consolidate(h3));

        List<Set<Character>> h4 = hashSetList(""HIK"", ""AB"", ""CD"", ""DB"", ""FGH"");
        System.out.println(consolidateR(h4));
    }

    
    private static <E> List<Set<E>>
                consolidate(Collection<? extends Set<E>> sets) {
	List<Set<E>> r = new ArrayList<>();
	for (Set<E> s : sets) {
	    List<Set<E>> new_r = new ArrayList<>();
	    new_r.add(s);
	    for (Set<E> x : r) {
		if (!Collections.disjoint(s, x)) {
		    s.addAll(x);
		} else {
		    new_r.add(x);
		}
	    }
	    r = new_r;
	}
	return r;
    }

    
    private static <E> List<Set<E>> consolidateR(List<Set<E>> sets) {
        if (sets.size() < 2)
            return sets;
        List<Set<E>> r = new ArrayList<>();
        r.add(sets.get(0));
        for (Set<E> x : consolidateR(sets.subList(1, sets.size()))) {
            if (!Collections.disjoint(r.get(0), x)) {
                r.get(0).addAll(x);
            } else {
                r.add(x);
            }
        }
        return r;
    }

    private static List<Set<Character>> hashSetList(String... set) {
        List<Set<Character>> r = new ArrayList<>();
        for (int i = 0; i < set.length; i++) {
            r.add(new HashSet<Character>());
            for (int j = 0; j < set[i].length(); j++)
                r.get(i).add(set[i].charAt(j));
        }
        return r;
    }
}
"
"7086","Guess the number_With feedback","C#","Java","using System;

class Program
{
    static void Main(string[] args)
    {
        const int from = 1;
        const int to = 10;

        int randomNumber = new Random().Next(from, to);
        int guessedNumber;

        Console.Write(""The number is between {0} and {1}. "", from, to);
        while (true)
        {
            Console.Write(""Make a guess: "");
            if (int.TryParse(Console.ReadLine(), out guessedNumber))
            {
                if (guessedNumber == randomNumber)
                {
                    Console.WriteLine(""You guessed the right number!"");
                    break;
                }
                else
                {
                    Console.WriteLine(""Your guess was too {0}."", (guessedNumber > randomNumber) ? ""high"" : ""low"");
                }
            }
            else
            {
                Console.WriteLine(""Input was not an integer."");
            }
        }

        Console.WriteLine();
        Console.WriteLine(""Press any key to exit."");
        Console.ReadKey();
    }
}
","import java.util.Random;
import java.util.Scanner;
public class Main
{
    public static void main(String[] args)
    {
        Scanner scan = new Scanner(System.in);
        Random random = new Random();
        long from = 1;
        long to = 100;
        int randomNumber = random.nextInt(to - from + 1) + from;
        int guessedNumber = 0;

        System.out.printf(""The number is between %d and %d.\n"", from, to);

        do
        {
            System.out.print(""Guess what the number is: "");
            guessedNumber = scan.nextInt();
            if (guessedNumber > randomNumber)
                System.out.println(""Your guess is too high!"");
            else if (guessedNumber < randomNumber)
                System.out.println(""Your guess is too low!"");
            else
                System.out.println(""You got it!"");
        } while (guessedNumber != randomNumber);
    }
}
"
"7618","Search a list","C#","Java","using System;
using System.Collections.Generic;

class Program {
    static void Main(string[] args) {
        List<string> haystack = new List<string>() { ""Zig"", ""Zag"", ""Wally"", ""Ronald"", ""Bush"", ""Krusty"", ""Charlie"", ""Bush"", ""Bozo"" };

        foreach (string needle in new string[] { ""Washington"", ""Bush"" }) {
            int index = haystack.IndexOf(needle);
            
            if (index < 0) Console.WriteLine(""{0} is not in haystack"",needle);                
            else Console.WriteLine(""{0} {1}"",index,needle);
        }
    }
}
","import java.util.List;
import java.util.Arrays;

List<String> haystack = Arrays.asList(""Zig"",""Zag"",""Wally"",""Ronald"",""Bush"",""Krusty"",""Charlie"",""Bush"",""Bozo"");

for (String needle : new String[]{""Washington"",""Bush""}) {
    int index = haystack.indexOf(needle);
    if (index < 0)
        System.out.println(needle + "" is not in haystack"");
    else
        System.out.println(index + "" "" + needle);
}
"
"8805","S-expressions","C#","Java","using System;
using System.Collections.Generic;
using System.Text;

  public class SNode
    {
        private List<SNode> _items;
        public string Name { get; set; }
        public IReadOnlyCollection<SNode> Items { get { return _items.AsReadOnly(); } }
        public SNode()
        {
            this._items = new List<SNode>();
        }
        public SNode(string name):this()
        {
            this.Name=name;
        }
        public void AddNode(SNode node)
        {
            this._items.Add(node);
        }      
    }

    public class SNodeFull : SNode
    {
        private bool _isLeaf;
        public bool IsLeaf { get => _isLeaf; }
        public SNodeFull(bool isLeaf) : base()
        {
            this._isLeaf = isLeaf;
        }

        public SNodeFull(string name, bool isLeaf) : base(name)
        {
            this._isLeaf = isLeaf;
        }

        public SNodeFull RootNode { get; set; }

        public void AddNode(SNodeFull node)
        {
            base.AddNode(node);
            node.RootNode = this;
        }
    }
","package jfkbits;

import java.io.BufferedReader;
import java.io.IOException;
import java.io.Reader;
import java.io.StreamTokenizer;
import java.io.StringReader;
import java.util.Iterator;

public class LispTokenizer implements Iterator<Token>
{
    
    StreamTokenizer m_tokenizer;
    IOException m_ioexn;

    
    public LispTokenizer(String src)
    {
        this(new StringReader(src));
    }

    
    public LispTokenizer(Reader r)
    {
        if(r == null)
            r = new StringReader("""");
        BufferedReader buffrdr = new BufferedReader(r);
        m_tokenizer = new StreamTokenizer(buffrdr);
        m_tokenizer.resetSyntax(); 

        m_tokenizer.whitespaceChars(0, ' ');
        m_tokenizer.wordChars(' '+1,255);
        m_tokenizer.ordinaryChar('(');
        m_tokenizer.ordinaryChar(')');
        m_tokenizer.ordinaryChar('\'');
        m_tokenizer.commentChar(';');
        m_tokenizer.quoteChar('""');
    }

    public Token peekToken()
    {	
        if(m_ioexn != null)
            return null;
        try
        {
            m_tokenizer.nextToken();
        }
        catch(IOException e)
        {
            m_ioexn = e;
            return null;
        }
        if(m_tokenizer.ttype == StreamTokenizer.TT_EOF)
            return null;
        Token token = new Token(m_tokenizer);
        m_tokenizer.pushBack();
        return token;
    }

    public boolean hasNext()
    {
        if(m_ioexn != null)
            return false;
        try
        {
            m_tokenizer.nextToken();
        }
        catch(IOException e)
        {
            m_ioexn = e;
            return false;
        }
        if(m_tokenizer.ttype == StreamTokenizer.TT_EOF)
            return false;
        m_tokenizer.pushBack();
        return true;
    }

    
    public IOException getIOException()
    {
        return m_ioexn;
    }

    public Token next()
    {
        try
        {
            m_tokenizer.nextToken();
        }
        catch(IOException e)
        {
            m_ioexn = e;
            return null;
        }

        Token token = new Token(m_tokenizer);
        return token;
    }

    public void remove()
    {
    }
}
"
