id,lang,type,code_raw,code_masked,masked
1,java,expression_statement,public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {request = beforeClientExecution(request);return executeListSpeechSynthesisTasks(request);},public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {<MASKED>return executeListSpeechSynthesisTasks(request);},request = beforeClientExecution(request);
2,c#,expression_statement,"public virtual ListSpeechSynthesisTasksResponse ListSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSpeechSynthesisTasksRequestMarshaller.Instance;options.ResponseUnmarshaller = ListSpeechSynthesisTasksResponseUnmarshaller.Instance;return Invoke<ListSpeechSynthesisTasksResponse>(request, options);}","public virtual ListSpeechSynthesisTasksResponse ListSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = ListSpeechSynthesisTasksResponseUnmarshaller.Instance;return Invoke<ListSpeechSynthesisTasksResponse>(request, options);}",options.RequestMarshaller = ListSpeechSynthesisTasksRequestMarshaller.Instance;
3,java,expression_statement,public UpdateJourneyStateResult updateJourneyState(UpdateJourneyStateRequest request) {request = beforeClientExecution(request);return executeUpdateJourneyState(request);},public UpdateJourneyStateResult updateJourneyState(UpdateJourneyStateRequest request) {<MASKED>return executeUpdateJourneyState(request);},request = beforeClientExecution(request);
4,c#,expression_statement,"public virtual UpdateJourneyStateResponse UpdateJourneyState(UpdateJourneyStateRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateJourneyStateRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateJourneyStateResponseUnmarshaller.Instance;return Invoke<UpdateJourneyStateResponse>(request, options);}","public virtual UpdateJourneyStateResponse UpdateJourneyState(UpdateJourneyStateRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = UpdateJourneyStateResponseUnmarshaller.Instance;return Invoke<UpdateJourneyStateResponse>(request, options);}",options.RequestMarshaller = UpdateJourneyStateRequestMarshaller.Instance;
5,java,expression_statement,public void removePresentationFormat() {remove1stProperty(PropertyIDMap.PID_PRESFORMAT);},public void removePresentationFormat() {<MASKED>},remove1stProperty(PropertyIDMap.PID_PRESFORMAT);
6,c#,expression_statement,public void RemovePresentationFormat(){MutableSection s = (MutableSection)FirstSection;s.RemoveProperty(PropertyIDMap.PID_PRESFORMAT);},public void RemovePresentationFormat(){MutableSection s = (MutableSection)FirstSection;<MASKED>},s.RemoveProperty(PropertyIDMap.PID_PRESFORMAT);
7,java,expression_statement,"public CellRangeAddressList(int firstRow, int lastRow, int firstCol, int lastCol) {this();addCellRangeAddress(firstRow, firstCol, lastRow, lastCol);}","public CellRangeAddressList(int firstRow, int lastRow, int firstCol, int lastCol) {this();<MASKED>}","addCellRangeAddress(firstRow, firstCol, lastRow, lastCol);"
8,c#,expression_statement,"public CellRangeAddressList(int firstRow, int lastRow, int firstCol, int lastCol): this(){AddCellRangeAddress(firstRow, firstCol, lastRow, lastCol);}","public CellRangeAddressList(int firstRow, int lastRow, int firstCol, int lastCol): this(){<MASKED>}","AddCellRangeAddress(firstRow, firstCol, lastRow, lastCol);"
9,java,expression_statement,"public void delete(int key) {int i = binarySearch(mKeys, 0, mSize, key);if (i >= 0) {if (mValues[i] != DELETED) {mValues[i] = DELETED;mGarbage = true;}}}","public void delete(int key) {int i = binarySearch(mKeys, 0, mSize, key);if (i >= 0) {if (mValues[i] != DELETED) {mValues[i] = DELETED;<MASKED>}}}",mGarbage = true;
10,c#,expression_statement,"public virtual void delete(int key){int i = binarySearch(mKeys, 0, mSize, key);if (i >= 0){if (mValues[i] != DELETED){mValues[i] = DELETED;mGarbage = true;}}}","public virtual void delete(int key){int i = binarySearch(mKeys, 0, mSize, key);if (i >= 0){if (mValues[i] != DELETED){<MASKED>mGarbage = true;}}}",mValues[i] = DELETED;
11,java,expression_statement,public CreateBranchCommand setStartPoint(RevCommit startPoint) {checkCallable();this.startCommit = startPoint;this.startPoint = null;return this;},public CreateBranchCommand setStartPoint(RevCommit startPoint) {<MASKED>this.startCommit = startPoint;this.startPoint = null;return this;},checkCallable();
12,c#,expression_statement,public virtual NGit.Api.CreateBranchCommand SetStartPoint(RevCommit startPoint){CheckCallable();this.startCommit = startPoint;this.startPoint = null;return this;},public virtual NGit.Api.CreateBranchCommand SetStartPoint(RevCommit startPoint){<MASKED>this.startCommit = startPoint;this.startPoint = null;return this;},CheckCallable();
13,java,expression_statement,public DeleteFolderContentsResult deleteFolderContents(DeleteFolderContentsRequest request) {request = beforeClientExecution(request);return executeDeleteFolderContents(request);},public DeleteFolderContentsResult deleteFolderContents(DeleteFolderContentsRequest request) {<MASKED>return executeDeleteFolderContents(request);},request = beforeClientExecution(request);
14,c#,expression_statement,"public virtual DeleteFolderContentsResponse DeleteFolderContents(DeleteFolderContentsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteFolderContentsRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteFolderContentsResponseUnmarshaller.Instance;return Invoke<DeleteFolderContentsResponse>(request, options);}","public virtual DeleteFolderContentsResponse DeleteFolderContents(DeleteFolderContentsRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = DeleteFolderContentsResponseUnmarshaller.Instance;return Invoke<DeleteFolderContentsResponse>(request, options);}",options.RequestMarshaller = DeleteFolderContentsRequestMarshaller.Instance;
15,java,expression_statement,public GetConsoleOutputResult getConsoleOutput(GetConsoleOutputRequest request) {request = beforeClientExecution(request);return executeGetConsoleOutput(request);},public GetConsoleOutputResult getConsoleOutput(GetConsoleOutputRequest request) {<MASKED>return executeGetConsoleOutput(request);},request = beforeClientExecution(request);
16,c#,expression_statement,"public virtual GetConsoleOutputResponse GetConsoleOutput(GetConsoleOutputRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetConsoleOutputRequestMarshaller.Instance;options.ResponseUnmarshaller = GetConsoleOutputResponseUnmarshaller.Instance;return Invoke<GetConsoleOutputResponse>(request, options);}","public virtual GetConsoleOutputResponse GetConsoleOutput(GetConsoleOutputRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = GetConsoleOutputResponseUnmarshaller.Instance;return Invoke<GetConsoleOutputResponse>(request, options);}",options.RequestMarshaller = GetConsoleOutputRequestMarshaller.Instance;
17,java,expression_statement,public PutMailboxPermissionsResult putMailboxPermissions(PutMailboxPermissionsRequest request) {request = beforeClientExecution(request);return executePutMailboxPermissions(request);},public PutMailboxPermissionsResult putMailboxPermissions(PutMailboxPermissionsRequest request) {<MASKED>return executePutMailboxPermissions(request);},request = beforeClientExecution(request);
18,c#,expression_statement,"public virtual PutMailboxPermissionsResponse PutMailboxPermissions(PutMailboxPermissionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = PutMailboxPermissionsRequestMarshaller.Instance;options.ResponseUnmarshaller = PutMailboxPermissionsResponseUnmarshaller.Instance;return Invoke<PutMailboxPermissionsResponse>(request, options);}","public virtual PutMailboxPermissionsResponse PutMailboxPermissions(PutMailboxPermissionsRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = PutMailboxPermissionsResponseUnmarshaller.Instance;return Invoke<PutMailboxPermissionsResponse>(request, options);}",options.RequestMarshaller = PutMailboxPermissionsRequestMarshaller.Instance;
19,java,expression_statement,public Cluster disableSnapshotCopy(DisableSnapshotCopyRequest request) {request = beforeClientExecution(request);return executeDisableSnapshotCopy(request);},public Cluster disableSnapshotCopy(DisableSnapshotCopyRequest request) {<MASKED>return executeDisableSnapshotCopy(request);},request = beforeClientExecution(request);
20,c#,expression_statement,"public virtual DisableSnapshotCopyResponse DisableSnapshotCopy(DisableSnapshotCopyRequest request){var options = new InvokeOptions();options.RequestMarshaller = DisableSnapshotCopyRequestMarshaller.Instance;options.ResponseUnmarshaller = DisableSnapshotCopyResponseUnmarshaller.Instance;return Invoke<DisableSnapshotCopyResponse>(request, options);}","public virtual DisableSnapshotCopyResponse DisableSnapshotCopy(DisableSnapshotCopyRequest request){var options = new InvokeOptions();options.RequestMarshaller = DisableSnapshotCopyRequestMarshaller.Instance;<MASKED>return Invoke<DisableSnapshotCopyResponse>(request, options);}",options.ResponseUnmarshaller = DisableSnapshotCopyResponseUnmarshaller.Instance;
21,java,expression_statement,"public static String stripExtension(String filename) {int idx = filename.indexOf('.');if (idx != -1) {filename = filename.substring(0, idx);}return filename;}",public static String stripExtension(String filename) {int idx = filename.indexOf('.');if (idx != -1) {<MASKED>}return filename;},"filename = filename.substring(0, idx);"
22,c#,expression_statement,"public static string StripExtension(string filename){int idx = filename.IndexOf('.');if (idx != -1){filename = filename.Substring(0, idx);}return filename;}",public static string StripExtension(string filename){int idx = filename.IndexOf('.');if (idx != -1){<MASKED>}return filename;},"filename = filename.Substring(0, idx);"
23,java,expression_statement,"public void setCountsByTime(int[] counts, long msecStep) {countsByTime = counts;countsByTimeStepMSec = msecStep;}","public void setCountsByTime(int[] counts, long msecStep) {countsByTime = counts;<MASKED>}",countsByTimeStepMSec = msecStep;
24,c#,expression_statement,"public virtual void SetCountsByTime(int[] counts, long msecStep){countsByTime = counts;countsByTimeStepMSec = msecStep;}","public virtual void SetCountsByTime(int[] counts, long msecStep){countsByTime = counts;<MASKED>}",countsByTimeStepMSec = msecStep;
25,java,expression_statement,public FeatHdrRecord(RecordInputStream in) {futureHeader = new FtrHeader(in);isf_sharedFeatureType = in.readShort();reserved = in.readByte();cbHdrData = in.readInt();rgbHdrData = in.readRemainder();},public FeatHdrRecord(RecordInputStream in) {futureHeader = new FtrHeader(in);isf_sharedFeatureType = in.readShort();<MASKED>cbHdrData = in.readInt();rgbHdrData = in.readRemainder();},reserved = in.readByte();
26,c#,expression_statement,public FeatHdrRecord(RecordInputStream in1){futureHeader = new FtrHeader(in1);isf_sharedFeatureType = in1.ReadShort();reserved = (byte)in1.ReadByte();cbHdrData = in1.ReadInt();rgbHdrData = in1.ReadRemainder();},public FeatHdrRecord(RecordInputStream in1){futureHeader = new FtrHeader(in1);<MASKED>reserved = (byte)in1.ReadByte();cbHdrData = in1.ReadInt();rgbHdrData = in1.ReadRemainder();},isf_sharedFeatureType = in1.ReadShort();
27,java,expression_statement,public CopyOnWriteArrayList() {elements = EmptyArray.OBJECT;},public CopyOnWriteArrayList() {<MASKED>},elements = EmptyArray.OBJECT;
28,c#,expression_statement,public CopyOnWriteArrayList(){elements = libcore.util.EmptyArray.OBJECT;},public CopyOnWriteArrayList(){<MASKED>},elements = libcore.util.EmptyArray.OBJECT;
29,java,expression_statement,public WriteRequest(DeleteRequest deleteRequest) {setDeleteRequest(deleteRequest);},public WriteRequest(DeleteRequest deleteRequest) {<MASKED>},setDeleteRequest(deleteRequest);
30,c#,expression_statement,public WriteRequest(DeleteRequest deleteRequest){_deleteRequest = deleteRequest;},public WriteRequest(DeleteRequest deleteRequest){<MASKED>},_deleteRequest = deleteRequest;
31,java,expression_statement,public void readFully(byte[] buf){_in.readFully(buf);},public void readFully(byte[] buf){<MASKED>},_in.readFully(buf);
32,c#,expression_statement,public void ReadFully(byte[] buf){_in.ReadFully(buf);},public void ReadFully(byte[] buf){<MASKED>},_in.ReadFully(buf);
33,java,expression_statement,"public static Cell getCell(Row row, int columnIndex) {Cell cell = row.getCell(columnIndex);if (cell == null) {cell = row.createCell(columnIndex);}return cell;}","public static Cell getCell(Row row, int columnIndex) {Cell cell = row.getCell(columnIndex);if (cell == null) {<MASKED>}return cell;}",cell = row.createCell(columnIndex);
34,c#,expression_statement,"public static ICell GetCell(IRow row, int column){ICell cell = row.GetCell(column);if (cell == null){cell = row.CreateCell(column);}return cell;}","public static ICell GetCell(IRow row, int column){ICell cell = row.GetCell(column);if (cell == null){<MASKED>}return cell;}",cell = row.CreateCell(column);
35,java,expression_statement,public void setPackConfig(PackConfig pc) {this.packConfig = pc;},public void setPackConfig(PackConfig pc) {<MASKED>},this.packConfig = pc;
36,c#,expression_statement,public virtual void SetPackConfig(PackConfig pc){this.packConfig = pc;},public virtual void SetPackConfig(PackConfig pc){<MASKED>},this.packConfig = pc;
37,java,string_literal,"public String getSignerName() {return ""HMAC-SHA1"";}",public String getSignerName() {return <MASKED>;},"""HMAC-SHA1"""
38,c#,string_literal,"public override string GetSignerName(){return ""HMAC-SHA1"";}",public override string GetSignerName(){return <MASKED>;},"""HMAC-SHA1"""
39,java,expression_statement,public IntervalSet or(IntSet a) {IntervalSet o = new IntervalSet();o.addAll(this);o.addAll(a);return o;},public IntervalSet or(IntSet a) {IntervalSet o = new IntervalSet();o.addAll(this);<MASKED>return o;},o.addAll(a);
40,c#,expression_statement,public virtual Antlr4.Runtime.Misc.IntervalSet Or(IIntSet a){Antlr4.Runtime.Misc.IntervalSet o = new Antlr4.Runtime.Misc.IntervalSet();o.AddAll(this);o.AddAll(a);return o;},public virtual Antlr4.Runtime.Misc.IntervalSet Or(IIntSet a){Antlr4.Runtime.Misc.IntervalSet o = new Antlr4.Runtime.Misc.IntervalSet();<MASKED>o.AddAll(a);return o;},o.AddAll(this);
41,java,string_literal,"public String toString() {return getClass().getName() + "" ["" +_value +""]"";}","public String toString() {return getClass().getName() + "" ["" +_value +<MASKED>;}","""]"""
42,c#,string_literal,"public override String ToString(){StringBuilder sb = new StringBuilder(64);sb.Append(GetType().Name).Append("" ["");sb.Append(value);sb.Append(""]"");return sb.ToString();}","public override String ToString(){StringBuilder sb = new StringBuilder(64);sb.Append(GetType().Name).Append("" ["");sb.Append(value);sb.Append(<MASKED>);return sb.ToString();}","""]"""
43,java,expression_statement,public DescribeVpcEndpointServicePermissionsResult describeVpcEndpointServicePermissions(DescribeVpcEndpointServicePermissionsRequest request) {request = beforeClientExecution(request);return executeDescribeVpcEndpointServicePermissions(request);},public DescribeVpcEndpointServicePermissionsResult describeVpcEndpointServicePermissions(DescribeVpcEndpointServicePermissionsRequest request) {<MASKED>return executeDescribeVpcEndpointServicePermissions(request);},request = beforeClientExecution(request);
44,c#,expression_statement,"public virtual DescribeVpcEndpointServicePermissionsResponse DescribeVpcEndpointServicePermissions(DescribeVpcEndpointServicePermissionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeVpcEndpointServicePermissionsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeVpcEndpointServicePermissionsResponseUnmarshaller.Instance;return Invoke<DescribeVpcEndpointServicePermissionsResponse>(request, options);}","public virtual DescribeVpcEndpointServicePermissionsResponse DescribeVpcEndpointServicePermissions(DescribeVpcEndpointServicePermissionsRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = DescribeVpcEndpointServicePermissionsResponseUnmarshaller.Instance;return Invoke<DescribeVpcEndpointServicePermissionsResponse>(request, options);}",options.RequestMarshaller = DescribeVpcEndpointServicePermissionsRequestMarshaller.Instance;
45,java,expression_statement,"public static byte[] copyOfRange(byte[] original, int start, int end) {if (start > end) {throw new IllegalArgumentException();}int originalLength = original.length;if (start < 0 || start > originalLength) {throw new ArrayIndexOutOfBoundsException();}int resultLength = end - start;int copyLength = Math.min(resultLength, originalLength - start);byte[] result = new byte[resultLength];System.arraycopy(original, start, result, 0, copyLength);return result;}","public static byte[] copyOfRange(byte[] original, int start, int end) {if (start > end) {throw new IllegalArgumentException();}int originalLength = original.length;if (start < 0 || start > originalLength) {throw new ArrayIndexOutOfBoundsException();}int resultLength = end - start;int copyLength = Math.min(resultLength, originalLength - start);byte[] result = new byte[resultLength];<MASKED>return result;}","System.arraycopy(original, start, result, 0, copyLength);"
